x                   u                   v                   e
0                   0                   0                   0
0.09090909          0.50620471          0.47273682         -1.17969778
0.18181818          0.65586946          0.61250643         -1.17969778
0.27272727          0.66188771          0.61812678         -1.17969778
0.36363636          0.61003216          0.56969968         -1.17969778
0.45454545          0.53485984          0.49949740         -1.17969778
0.54545455          0.45029340          0.42052210         -1.17969778
0.63636364          0.36194216          0.33801224         -1.17969778
0.72727273          0.27206607          0.25407833         -1.17969778
0.81818182          0.18157563          0.16957070         -1.17969778
0.90909091          0.09083768          0.08483191         -1.17969778
1                   0                   0                   0
