rho                   u
0.00000000                   0
0.00497512          0.00155903
0.00995025          0.00311767
0.01492537          0.00467555
0.01990050          0.00623229
0.02487562          0.00778751
0.02985075          0.00934083
0.03482587          0.01089186
0.03980100          0.01244023
0.04477612          0.01398557
0.04975124          0.01552748
0.05472637          0.01706561
0.05970149          0.01859956
0.06467662          0.02012898
0.06965174          0.02165347
0.07462687          0.02317268
0.07960199          0.02468622
0.08457711          0.02619373
0.08955224          0.02769485
0.09452736          0.02918920
0.09950249          0.03067642
0.10447761          0.03215614
0.10945274          0.03362801
0.11442786          0.03509167
0.11940299          0.03654675
0.12437811          0.03799291
0.12935323          0.03942978
0.13432836          0.04085702
0.13930348          0.04227428
0.14427861          0.04368122
0.14925373          0.04507748
0.15422886          0.04646273
0.15920398          0.04783663
0.16417910          0.04919885
0.16915423          0.05054904
0.17412935          0.05188689
0.17910448          0.05321206
0.18407960          0.05452424
0.18905473          0.05582309
0.19402985          0.05710831
0.19900498          0.05837958
0.20398010          0.05963658
0.20895522          0.06087902
0.21393035          0.06210658
0.21890547          0.06331898
0.22388060          0.06451590
0.22885572          0.06569707
0.23383085          0.06686218
0.23880597          0.06801097
0.24378109          0.06914314
0.24875622          0.07025841
0.25373134          0.07135653
0.25870647          0.07243721
0.26368159          0.07350020
0.26865672          0.07454523
0.27363184          0.07557205
0.27860697          0.07658042
0.28358209          0.07757007
0.28855721          0.07854077
0.29353234          0.07949229
0.29850746          0.08042439
0.30348259          0.08133684
0.30845771          0.08222943
0.31343284          0.08310192
0.31840796          0.08395412
0.32338308          0.08478580
0.32835821          0.08559678
0.33333333          0.08638684
0.33830846          0.08715580
0.34328358          0.08790347
0.34825871          0.08862967
0.35323383          0.08933422
0.35820896          0.09001694
0.36318408          0.09067767
0.36815920          0.09131625
0.37313433          0.09193253
0.37810945          0.09252634
0.38308458          0.09309755
0.38805970          0.09364603
0.39303483          0.09417162
0.39800995          0.09467421
0.40298507          0.09515367
0.40796020          0.09560989
0.41293532          0.09604275
0.41791045          0.09645215
0.42288557          0.09683798
0.42786070          0.09720017
0.43283582          0.09753860
0.43781095          0.09785321
0.44278607          0.09814392
0.44776119          0.09841065
0.45273632          0.09865333
0.45771144          0.09887192
0.46268657          0.09906636
0.46766169          0.09923660
0.47263682          0.09938259
0.47761194          0.09950431
0.48258706          0.09960172
0.48756219          0.09967479
0.49253731          0.09972352
0.49751244          0.09974789
0.50248756          0.09974789
0.50746269          0.09972352
0.51243781          0.09967479
0.51741294          0.09960172
0.52238806          0.09950431
0.52736318          0.09938259
0.53233831          0.09923660
0.53731343          0.09906636
0.54228856          0.09887192
0.54726368          0.09865333
0.55223881          0.09841065
0.55721393          0.09814392
0.56218905          0.09785321
0.56716418          0.09753860
0.57213930          0.09720017
0.57711443          0.09683798
0.58208955          0.09645215
0.58706468          0.09604275
0.59203980          0.09560989
0.59701493          0.09515367
0.60199005          0.09467421
0.60696517          0.09417162
0.61194030          0.09364603
0.61691542          0.09309755
0.62189055          0.09252634
0.62686567          0.09193253
0.63184080          0.09131625
0.63681592          0.09067767
0.64179104          0.09001694
0.64676617          0.08933422
0.65174129          0.08862967
0.65671642          0.08790347
0.66169154          0.08715580
0.66666667          0.08638684
0.67164179          0.08559678
0.67661692          0.08478580
0.68159204          0.08395412
0.68656716          0.08310192
0.69154229          0.08222943
0.69651741          0.08133684
0.70149254          0.08042439
0.70646766          0.07949229
0.71144279          0.07854077
0.71641791          0.07757007
0.72139303          0.07658042
0.72636816          0.07557205
0.73134328          0.07454523
0.73631841          0.07350020
0.74129353          0.07243721
0.74626866          0.07135653
0.75124378          0.07025841
0.75621891          0.06914314
0.76119403          0.06801097
0.76616915          0.06686218
0.77114428          0.06569707
0.77611940          0.06451590
0.78109453          0.06331898
0.78606965          0.06210658
0.79104478          0.06087902
0.79601990          0.05963658
0.80099502          0.05837958
0.80597015          0.05710831
0.81094527          0.05582309
0.81592040          0.05452424
0.82089552          0.05321206
0.82587065          0.05188689
0.83084577          0.05054904
0.83582090          0.04919885
0.84079602          0.04783663
0.84577114          0.04646273
0.85074627          0.04507748
0.85572139          0.04368122
0.86069652          0.04227428
0.86567164          0.04085702
0.87064677          0.03942978
0.87562189          0.03799291
0.88059701          0.03654675
0.88557214          0.03509167
0.89054726          0.03362801
0.89552239          0.03215614
0.90049751          0.03067642
0.90547264          0.02918920
0.91044776          0.02769485
0.91542289          0.02619373
0.92039801          0.02468622
0.92537313          0.02317268
0.93034826          0.02165347
0.93532338          0.02012898
0.94029851          0.01859956
0.94527363          0.01706561
0.95024876          0.01552748
0.95522388          0.01398557
0.96019900          0.01244023
0.96517413          0.01089186
0.97014925          0.00934083
0.97512438          0.00778751
0.98009950          0.00623229
0.98507463          0.00467555
0.99004975          0.00311767
0.99502488          0.00155903
1.00000000                   0
