rho                   u
0.00000000                   0
0.02487562          0.00589280
0.04975124          0.01177466
0.07462687          0.01763468
0.09950249          0.02346203
0.12437811          0.02924597
0.14925373          0.03497590
0.17412935          0.04064139
0.19900498          0.04623220
0.22388060          0.05173833
0.24875622          0.05715002
0.27363184          0.06245781
0.29850746          0.06765255
0.32338308          0.07272545
0.34825871          0.07766805
0.37313433          0.08247231
0.39800995          0.08713059
0.42288557          0.09163566
0.44776119          0.09598078
0.47263682          0.10015964
0.49751244          0.10416642
0.52238806          0.10799579
0.54726368          0.11164293
0.57213930          0.11510353
0.59701493          0.11837377
0.62189055          0.12145039
0.64676617          0.12433063
0.67164179          0.12701226
0.69651741          0.12949357
0.72139303          0.13177339
0.74626866          0.13385103
0.77114428          0.13572633
0.79601990          0.13739964
0.82089552          0.13887177
0.84577114          0.14014402
0.87064677          0.14121816
0.89552239          0.14209640
0.92039801          0.14278139
0.94527363          0.14327619
0.97014925          0.14358424
0.99502488          0.14370939
1.01990050          0.14365582
1.04477612          0.14342805
1.06965174          0.14303092
1.09452736          0.14246956
1.11940299          0.14174934
1.14427861          0.14087591
1.16915423          0.13985512
1.19402985          0.13869302
1.21890547          0.13739582
1.24378109          0.13596989
1.26865672          0.13442173
1.29353234          0.13275793
1.31840796          0.13098514
1.34328358          0.12911010
1.36815920          0.12713955
1.39303483          0.12508027
1.41791045          0.12293899
1.44278607          0.12072246
1.46766169          0.11843733
1.49253731          0.11609022
1.51741294          0.11368765
1.54228856          0.11123601
1.56716418          0.10874163
1.59203980          0.10621065
1.61691542          0.10364910
1.64179104          0.10106283
1.66666667          0.09845752
1.69154229          0.09583869
1.71641791          0.09321165
1.74129353          0.09058151
1.76616915          0.08795318
1.79104478          0.08533135
1.81592040          0.08272051
1.84079602          0.08012491
1.86567164          0.07754859
1.89054726          0.07499534
1.91542289          0.07246874
1.94029851          0.06997215
1.96517413          0.06750868
1.99004975          0.06508123
2.01492537          0.06269245
2.03980100          0.06034480
2.06467662          0.05804050
2.08955224          0.05578157
2.11442786          0.05356980
2.13930348          0.05140680
2.16417910          0.04929395
2.18905473          0.04723247
2.21393035          0.04522336
2.23880597          0.04326748
2.26368159          0.04136547
2.28855721          0.03951784
2.31343284          0.03772493
2.33830846          0.03598693
2.36318408          0.03430389
2.38805970          0.03267572
2.41293532          0.03110219
2.43781095          0.02958300
2.46268657          0.02811767
2.48756219          0.02670568
2.51243781          0.02534637
2.53731343          0.02403901
2.56218905          0.02278280
2.58706468          0.02157685
2.61194030          0.02042021
2.63681592          0.01931186
2.66169154          0.01825076
2.68656716          0.01723579
2.71144279          0.01626580
2.73631841          0.01533962
2.76119403          0.01445603
2.78606965          0.01361381
2.81094527          0.01281171
2.83582090          0.01204847
2.86069652          0.01132282
2.88557214          0.01063349
2.91044776          0.00997921
2.93532338          0.00935872
2.96019900          0.00877075
2.98507463          0.00821405
3.00995025          0.00768740
3.03482587          0.00718958
3.05970149          0.00671939
3.08457711          0.00627565
3.10945274          0.00585721
3.13432836          0.00546294
3.15920398          0.00509173
3.18407960          0.00474253
3.20895522          0.00441427
3.23383085          0.00410594
3.25870647          0.00381657
3.28358209          0.00354519
3.30845771          0.00329088
3.33333333          0.00305275
3.35820896          0.00282994
3.38308458          0.00262163
3.40796020          0.00242702
3.43283582          0.00224535
3.45771144          0.00207589
3.48258706          0.00191792
3.50746269          0.00177080
3.53233831          0.00163386
3.55721393          0.00150651
3.58208955          0.00138816
3.60696517          0.00127825
3.63184080          0.00117626
3.65671642          0.00108169
3.68159204          0.00099406
3.70646766          0.00091292
3.73134328          0.00083785
3.75621891          0.00076844
3.78109453          0.00070431
3.80597015          0.00064511
3.83084577          0.00059049
3.85572139          0.00054014
3.88059701          0.00049375
3.90547264          0.00045105
3.93034826          0.00041177
3.95522388          0.00037566
3.98009950          0.00034249
4.00497512          0.00031204
4.02985075          0.00028411
4.05472637          0.00025851
4.07960199          0.00023505
4.10447761          0.00021358
4.12935323          0.00019395
4.15422886          0.00017599
4.17910448          0.00015959
4.20398010          0.00014462
4.22885572          0.00013096
4.25373134          0.00011851
4.27860697          0.00010717
4.30348259          0.00009684
4.32835821          0.00008744
4.35323383          0.00007889
4.37810945          0.00007112
4.40298507          0.00006406
4.42786070          0.00005765
4.45273632          0.00005184
4.47761194          0.00004656
4.50248756          0.00004178
4.52736318          0.00003744
4.55223881          0.00003351
4.57711443          0.00002994
4.60199005          0.00002671
4.62686567          0.00002377
4.65174129          0.00002111
4.67661692          0.00001869
4.70149254          0.00001649
4.72636816          0.00001449
4.75124378          0.00001266
4.77611940          0.00001098
4.80099502          0.00000944
4.82587065          0.00000801
4.85074627          0.00000668
4.87562189          0.00000544
4.90049751          0.00000427
4.92537313          0.00000315
4.95024876          0.00000208
4.97512438          0.00000103
5.00000000                   0
