rho                   u
0.00000000                   0
0.02487562          0.00204349
0.04975124          0.00413500
0.07462687          0.00627223
0.09950249          0.00845282
0.12437811          0.01067431
0.14925373          0.01293420
0.17412935          0.01522991
0.19900498          0.01755878
0.22388060          0.01991812
0.24875622          0.02230517
0.27363184          0.02471712
0.29850746          0.02715114
0.32338308          0.02960433
0.34825871          0.03207378
0.37313433          0.03455654
0.39800995          0.03704964
0.42288557          0.03955011
0.44776119          0.04205495
0.47263682          0.04456115
0.49751244          0.04706571
0.52238806          0.04956565
0.54726368          0.05205796
0.57213930          0.05453968
0.59701493          0.05700785
0.62189055          0.05945956
0.64676617          0.06189190
0.67164179          0.06430202
0.69651741          0.06668710
0.72139303          0.06904437
0.74626866          0.07137110
0.77114428          0.07366464
0.79601990          0.07592236
0.82089552          0.07814174
0.84577114          0.08032029
0.87064677          0.08245561
0.89552239          0.08454537
0.92039801          0.08658732
0.94527363          0.08857930
0.97014925          0.09051923
0.99502488          0.09240511
1.01990050          0.09423504
1.04477612          0.09600721
1.06965174          0.09771992
1.09452736          0.09937156
1.11940299          0.10096060
1.14427861          0.10248565
1.16915423          0.10394540
1.19402985          0.10533864
1.21890547          0.10666429
1.24378109          0.10792135
1.26865672          0.10910894
1.29353234          0.11022630
1.31840796          0.11127274
1.34328358          0.11224771
1.36815920          0.11315077
1.39303483          0.11398156
1.41791045          0.11473985
1.44278607          0.11542550
1.46766169          0.11603848
1.49253731          0.11657885
1.51741294          0.11704679
1.54228856          0.11744257
1.56716418          0.11776656
1.59203980          0.11801921
1.61691542          0.11820108
1.64179104          0.11831282
1.66666667          0.11835515
1.69154229          0.11832889
1.71641791          0.11823494
1.74129353          0.11807427
1.76616915          0.11784795
1.79104478          0.11755709
1.81592040          0.11720290
1.84079602          0.11678663
1.86567164          0.11630962
1.89054726          0.11577324
1.91542289          0.11517895
1.94029851          0.11452822
1.96517413          0.11382262
1.99004975          0.11306373
2.01492537          0.11225317
2.03980100          0.11139263
2.06467662          0.11048379
2.08955224          0.10952841
2.11442786          0.10852823
2.13930348          0.10748506
2.16417910          0.10640068
2.18905473          0.10527694
2.21393035          0.10411566
2.23880597          0.10291870
2.26368159          0.10168790
2.28855721          0.10042513
2.31343284          0.09913224
2.33830846          0.09781108
2.36318408          0.09646352
2.38805970          0.09509138
2.41293532          0.09369650
2.43781095          0.09228070
2.46268657          0.09084576
2.48756219          0.08939346
2.51243781          0.08792557
2.53731343          0.08644381
2.56218905          0.08494989
2.58706468          0.08344548
2.61194030          0.08193224
2.63681592          0.08041176
2.66169154          0.07888564
2.68656716          0.07735541
2.71144279          0.07582258
2.73631841          0.07428861
2.76119403          0.07275494
2.78606965          0.07122294
2.81094527          0.06969396
2.83582090          0.06816930
2.86069652          0.06665022
2.88557214          0.06513791
2.91044776          0.06363356
2.93532338          0.06213827
2.96019900          0.06065313
2.98507463          0.05917915
3.00995025          0.05771732
3.03482587          0.05626857
3.05970149          0.05483379
3.08457711          0.05341380
3.10945274          0.05200942
3.13432836          0.05062138
3.15920398          0.04925038
3.18407960          0.04789707
3.20895522          0.04656208
3.23383085          0.04524596
3.25870647          0.04394923
3.28358209          0.04267237
3.30845771          0.04141582
3.33333333          0.04017997
3.35820896          0.03896517
3.38308458          0.03777175
3.40796020          0.03659996
3.43283582          0.03545005
3.45771144          0.03432222
3.48258706          0.03321663
3.50746269          0.03213341
3.53233831          0.03107266
3.55721393          0.03003442
3.58208955          0.02901874
3.60696517          0.02802562
3.63184080          0.02705502
3.65671642          0.02610689
3.68159204          0.02518113
3.70646766          0.02427765
3.73134328          0.02339630
3.75621891          0.02253693
3.78109453          0.02169934
3.80597015          0.02088334
3.83084577          0.02008871
3.85572139          0.01931519
3.88059701          0.01856253
3.90547264          0.01783045
3.93034826          0.01711865
3.95522388          0.01642682
3.98009950          0.01575464
4.00497512          0.01510176
4.02985075          0.01446785
4.05472637          0.01385253
4.07960199          0.01325543
4.10447761          0.01267617
4.12935323          0.01211436
4.15422886          0.01156960
4.17910448          0.01104148
4.20398010          0.01052958
4.22885572          0.01003348
4.25373134          0.00955276
4.27860697          0.00908697
4.30348259          0.00863570
4.32835821          0.00819848
4.35323383          0.00777488
4.37810945          0.00736444
4.40298507          0.00696672
4.42786070          0.00658125
4.45273632          0.00620758
4.47761194          0.00584523
4.50248756          0.00549376
4.52736318          0.00515269
4.55223881          0.00482154
4.57711443          0.00449985
4.60199005          0.00418715
4.62686567          0.00388294
4.65174129          0.00358675
4.67661692          0.00329809
4.70149254          0.00301648
4.72636816          0.00274141
4.75124378          0.00247239
4.77611940          0.00220892
4.80099502          0.00195047
4.82587065          0.00169654
4.85074627          0.00144660
4.87562189          0.00120011
4.90049751          0.00095652
4.92537313          0.00071530
4.95024876          0.00047586
4.97512438          0.00023762
5.00000000                   0
