rho                   u
0.00000000                   0
0.02487562          0.01672705
0.04975124          0.03368981
0.07462687          0.05070924
0.09950249          0.06760615
0.12437811          0.08420410
0.14925373          0.10033224
0.17412935          0.11582792
0.19900498          0.13053930
0.22388060          0.14432751
0.24875622          0.15706866
0.27363184          0.16865549
0.29850746          0.17899859
0.32338308          0.18802737
0.34825871          0.19569056
0.37313433          0.20195633
0.39800995          0.20681207
0.42288557          0.21026383
0.44776119          0.21233536
0.47263682          0.21306694
0.49751244          0.21251393
0.52238806          0.21074509
0.54726368          0.20784077
0.57213930          0.20389099
0.59701493          0.19899340
0.62189055          0.19325136
0.64676617          0.18677185
0.67164179          0.17966364
0.69651741          0.17203545
0.72139303          0.16399426
0.74626866          0.15564385
0.77114428          0.14708341
0.79601990          0.13840644
0.82089552          0.12969983
0.84577114          0.12104308
0.87064677          0.11250781
0.89552239          0.10415743
0.92039801          0.09604694
0.94527363          0.08822299
0.97014925          0.08072401
0.99502488          0.07358054
1.01990050          0.06681558
1.04477612          0.06044513
1.06965174          0.05447872
1.09452736          0.04892006
1.11940299          0.04376763
1.14427861          0.03901539
1.16915423          0.03465341
1.19402985          0.03066851
1.21890547          0.02704487
1.24378109          0.02376464
1.26865672          0.02080845
1.29353234          0.01815591
1.31840796          0.01578603
1.34328358          0.01367765
1.36815920          0.01180973
1.39303483          0.01016166
1.41791045          0.00871347
1.44278607          0.00744604
1.46766169          0.00634120
1.49253731          0.00538190
1.51741294          0.00455221
1.54228856          0.00383739
1.56716418          0.00322390
1.59203980          0.00269936
1.61691542          0.00225259
1.64179104          0.00187346
1.66666667          0.00155294
1.69154229          0.00128297
1.71641791          0.00105640
1.74129353          0.00086696
1.76616915          0.00070914
1.79104478          0.00057813
1.81592040          0.00046977
1.84079602          0.00038047
1.86567164          0.00030713
1.89054726          0.00024711
1.91542289          0.00019817
1.94029851          0.00015841
1.96517413          0.00012621
1.99004975          0.00010023
2.01492537          0.00007934
2.03980100          0.00006260
2.06467662          0.00004923
2.08955224          0.00003859
2.11442786          0.00003015
2.13930348          0.00002348
2.16417910          0.00001823
2.18905473          0.00001411
2.21393035          0.00001088
2.23880597          0.00000837
2.26368159          0.00000641
2.28855721          0.00000490
2.31343284          0.00000373
2.33830846          0.00000283
2.36318408          0.00000214
2.38805970          0.00000162
2.41293532          0.00000121
2.43781095          0.00000091
2.46268657          0.00000068
2.48756219          0.00000051
2.51243781          0.00000038
2.53731343          0.00000028
2.56218905          0.00000021
2.58706468          0.00000015
2.61194030          0.00000011
2.63681592          0.00000008
2.66169154          0.00000006
2.68656716          0.00000004
2.71144279          0.00000003
2.73631841          0.00000002
2.76119403          0.00000002
2.78606965          0.00000001
2.81094527          0.00000001
2.83582090          0.00000001
2.86069652          0.00000000
2.88557214          0.00000000
2.91044776          0.00000000
2.93532338          0.00000000
2.96019900          0.00000000
2.98507463          0.00000000
3.00995025          0.00000000
3.03482587          0.00000000
3.05970149          0.00000000
3.08457711          0.00000000
3.10945274          0.00000000
3.13432836          0.00000000
3.15920398          0.00000000
3.18407960          0.00000000
3.20895522          0.00000000
3.23383085          0.00000000
3.25870647          0.00000000
3.28358209          0.00000000
3.30845771          0.00000000
3.33333333          0.00000000
3.35820896          0.00000000
3.38308458          0.00000000
3.40796020          0.00000000
3.43283582          0.00000000
3.45771144          0.00000000
3.48258706          0.00000000
3.50746269          0.00000000
3.53233831          0.00000000
3.55721393          0.00000000
3.58208955          0.00000000
3.60696517          0.00000000
3.63184080          0.00000000
3.65671642          0.00000000
3.68159204          0.00000000
3.70646766          0.00000000
3.73134328          0.00000000
3.75621891          0.00000000
3.78109453          0.00000000
3.80597015          0.00000000
3.83084577          0.00000000
3.85572139          0.00000000
3.88059701          0.00000000
3.90547264          0.00000000
3.93034826          0.00000000
3.95522388          0.00000000
3.98009950          0.00000000
4.00497512          0.00000000
4.02985075          0.00000000
4.05472637          0.00000000
4.07960199          0.00000000
4.10447761         -0.00000000
4.12935323         -0.00000000
4.15422886         -0.00000000
4.17910448         -0.00000000
4.20398010         -0.00000000
4.22885572         -0.00000000
4.25373134          0.00000000
4.27860697          0.00000000
4.30348259          0.00000000
4.32835821          0.00000000
4.35323383          0.00000000
4.37810945          0.00000000
4.40298507          0.00000000
4.42786070          0.00000000
4.45273632          0.00000000
4.47761194          0.00000000
4.50248756          0.00000000
4.52736318         -0.00000000
4.55223881         -0.00000000
4.57711443         -0.00000000
4.60199005         -0.00000000
4.62686567         -0.00000000
4.65174129         -0.00000000
4.67661692         -0.00000000
4.70149254         -0.00000000
4.72636816         -0.00000000
4.75124378         -0.00000000
4.77611940         -0.00000000
4.80099502         -0.00000000
4.82587065         -0.00000000
4.85074627         -0.00000000
4.87562189         -0.00000000
4.90049751         -0.00000000
4.92537313         -0.00000000
4.95024876         -0.00000000
4.97512438          0.00000000
5.00000000                   0
